id,role,first_name,middle_name,last_name,email,phone_number,hobbies
1,ученик,Иван,Сергеевич,Иванов,ivan.ivanov@gmail.com,79406232030,"""Шахматы, чтение"""
2,ученик,Мария,Владимировна,Кузнецова,maria.kuzne@mail.ru,79570046302,"""Велоспорт, футбол"""
3,ученик,Дмитрий,Алексеевич,Петров,dmitry.petrov@yandex.ru,79577196864,"""Готовка, йога"""
4,ученик,Анна,Игоревна,Смирнова,anna.smirnova@mail.ru,79423414800,"""Рисование, путешествия"""
5,ученик,Максим,Константинович,Орлов,maxim.orlov@gmail.com,79278896575,"""Программирование, настольные игры"""
6,ученик,Елена,Павловна,Сидорова,elena.sidorova@yandex.ru,79727323534,"""Музыка, хоккей"""
7,ученик,Сергей,Викторович,Волков,sergey.volkov@mail.ru,79706756236,"""Коллекционирование монет, бег"""
8,ученик,Ольга,Андреевна,Ефимова,olga.efimova@gmail.com,79762121582,"""Пение, кулинария"""
9,ученик,Пётр,Александрович,Миронов,pyotr.mironov@yandex.ru,79962408347,"""Велоспорт, музыка"""
10,ученик,Татьяна,Дмитриевна,Быстрова,tatiana.bystrova@mail.ru,79735833222,"""Шахматы, йога"""
11,ученик,Андрей,Сергеевич,Зуев,andrey.zuev@mail.ru,79490453580,"""Программирование, путешествия"""
12,ученик,Анастасия,Петровна,Фёдорова,anastasia.fedorova@gmail.com,79463931354,"""Рисование, бег"""
13,ученик,Владимир,Андреевич,Крылов,vladimir.krylov@yandex.ru,79966267329,"""Готовка, футбол"""
14,ученик,Светлана,Викторовна,Соловьёва,svetlana.solovieva@mail.ru,79932933495,"""Велоспорт, кулинария"""
15,ученик,Константин,Дмитриевич,Гусев,konstantin.gusev@gmail.com,79793427898,"""Музыка, шахматы"""
16,ученик,Наталья,Алексеевна,Молчанова,natalya.molchanova@yandex.ru,79902701141,"""Пение, путешествия"""
17,ученик,Артём,Максимович,Павлов,artem.pavlov@mail.ru,79417171514,"""Коллекционирование монет, чтение"""
18,ученик,Татьяна,Владимировна,Родионова,tatiana.rodionova@gmail.com,79866756463,"""Программирование, йога"""
19,ученик,Евгений,Сергеевич,Семёнов,evgeny.semyonov@yandex.ru,79776009558,"""Рисование, хоккей"""
20,ученик,Ирина,Павловна,Маркина,irina.markina@mail.ru,79312158345,"""Велоспорт, настольные игры"""
21,ученик,Виктор,Алексеевич,Михайлов,viktor.mikhailov@gmail.com,79150889418,"""Готовка, футбол"""
22,ученик,Екатерина,Сергеевна,Прохорова,ekaterina.prohorova@yandex.ru,79979896349,"""Пение, путешествия"""
23,ученик,Максим,Викторович,Абрамов,maxim.abramov@mail.ru,79616466464,"""Программирование, шахматы"""
24,ученик,София,Ивановна,Григорьева,sofia.grigorieva@gmail.com,79348073504,"""Рисование, йога"""
25,ученик,Алексей,Петрович,Калашников,alexey.kalashnikov@yandex.ru,79596419552,"""Музыка, бег"""
26,ученик,Ксения,Максимовна,Егорова,kseniya.egorova@mail.ru,79638376354,"""Коллекционирование монет, кулинария"""
27,ученик,Денис,Владимирович,Павлов,denis.pavlov@gmail.com,79601337923,"""Велоспорт, хоккей"""
28,ученик,Полина,Сергеевна,Тарасова,polina.tarasova@yandex.ru,79971805787,"""Шахматы, путешествия"""
29,ученик,Артём,Андреевич,Лебедев,artem.lebedev@mail.ru,79918394768,"""Готовка, чтение"""
30,ученик,Валерия,Петровна,Соловьёва,valeria.solovieva@gmail.com,79383008920,"""Программирование, бег"""
